time,step,valid,ref_x,ref_y,act_x,act_y,err_x,err_y,err_dist,u_x,u_y
0.2043,0,1,0.0,-8.0,0.003,-0.004,-0.003,-7.996,7.996,28,-45
0.3993,1,1,0.03,-7.908,0.051,-0.041,-0.021,-7.867,7.867,20,-45
0.6008,2,1,0.06,-7.815,0.221,-0.209,-0.161,-7.607,7.608,8,-45
0.807,3,1,0.09,-7.723,0.35,-0.427,-0.26,-7.295,7.3,6,-45
1.0139,4,1,0.12,-7.63,0.441,-0.678,-0.321,-6.952,6.96,9,-45
1.2065,5,1,0.15,-7.538,0.52,-0.902,-0.37,-6.636,6.646,7,-45
1.4112,6,1,0.18,-7.445,0.608,-1.144,-0.428,-6.301,6.316,2,-45
1.6175,7,1,0.21,-7.353,0.679,-1.385,-0.468,-5.968,5.987,1,-45
1.8177,8,1,0.24,-7.26,0.703,-1.611,-0.463,-5.649,5.668,4,-45
2.0253,9,1,0.27,-7.168,0.753,-1.846,-0.483,-5.322,5.343,0,-45
2.2333,10,1,0.3,-7.076,0.779,-2.061,-0.479,-5.014,5.037,0,-45
2.4388,11,1,0.33,-6.983,0.795,-2.267,-0.465,-4.717,4.739,1,-45
2.6287,12,1,0.36,-6.891,0.821,-2.505,-0.461,-4.386,4.41,-2,-45
2.8349,13,1,0.39,-6.798,0.837,-2.734,-0.447,-4.065,4.089,-2,-45
3.0411,14,1,0.42,-6.706,0.836,-2.971,-0.416,-3.734,3.758,0,-45
3.2605,15,1,0.451,-6.613,0.851,-3.257,-0.4,-3.357,3.381,-3,-45
3.4645,16,1,0.481,-6.521,0.851,-3.493,-0.37,-3.028,3.05,-1,-45
3.6645,17,1,0.511,-6.429,0.85,-3.736,-0.34,-2.692,2.714,0,-45
3.8626,18,1,0.541,-6.336,0.876,-3.994,-0.335,-2.342,2.366,-4,-45
4.0655,19,1,0.571,-6.244,0.854,-4.226,-0.283,-2.018,2.038,1,-45
4.2627,20,1,0.601,-6.151,0.863,-4.471,-0.263,-1.68,1.7,-1,-45
4.4664,21,1,0.631,-6.059,0.88,-4.708,-0.249,-1.35,1.373,-3,-32
4.6629,22,1,0.661,-5.966,0.882,-4.953,-0.221,-1.014,1.037,-1,-19
4.8661,23,1,0.691,-5.874,0.881,-5.111,-0.191,-0.763,0.787,0,-16
5.0692,24,1,0.721,-5.781,0.89,-5.231,-0.169,-0.551,0.576,-1,-10
5.2785,25,1,0.751,-5.689,0.898,-5.35,-0.147,-0.339,0.37,-1,0
5.4855,26,1,0.781,-5.597,0.883,-5.376,-0.102,-0.22,0.243,2,-1
5.678,27,1,0.811,-5.504,0.878,-5.392,-0.067,-0.112,0.13,2,3
5.8815,28,1,0.841,-5.412,0.902,-5.39,-0.061,-0.022,0.065,-2,7
6.0868,29,1,0.871,-5.319,0.889,-5.354,-0.018,0.035,0.039,3,7
6.2913,30,1,0.901,-5.227,0.901,-5.307,-0.0,0.08,0.08,2,8
6.4978,31,1,0.931,-5.134,0.917,-5.243,0.014,0.109,0.11,1,9
6.705,32,1,0.961,-5.042,0.922,-5.144,0.039,0.102,0.109,3,7
6.8974,33,1,0.991,-4.95,0.927,-5.081,0.064,0.131,0.146,4,11
7.1032,34,1,1.021,-4.857,0.968,-5.016,0.053,0.159,0.168,0,13
7.3099,35,1,1.051,-4.765,0.977,-4.915,0.075,0.151,0.168,4,9
7.5291,36,1,1.081,-4.672,1.003,-4.782,0.078,0.11,0.135,4,6
7.7087,37,1,1.111,-4.58,1.02,-4.746,0.091,0.166,0.189,3,17
7.927,38,1,1.141,-4.487,1.07,-4.656,0.071,0.168,0.183,0,13
8.1337,39,1,1.171,-4.395,1.056,-4.526,0.116,0.131,0.175,8,7
8.3316,40,1,1.201,-4.302,1.106,-4.454,0.096,0.151,0.179,2,13
8.5299,41,1,1.231,-4.21,1.146,-4.402,0.086,0.192,0.21,1,18
8.7325,42,1,1.261,-4.118,1.15,-4.266,0.111,0.149,0.186,6,9
8.933,43,1,1.292,-4.025,1.19,-4.148,0.102,0.123,0.16,4,8
9.1312,44,1,1.322,-3.933,1.23,-4.08,0.091,0.147,0.173,1,15
9.3337,45,1,1.352,-3.84,1.241,-4.022,0.11,0.182,0.212,5,17
9.5437,46,1,1.382,-3.748,1.281,-3.894,0.1,0.146,0.178,3,9
9.7488,47,1,1.412,-3.655,1.313,-3.793,0.099,0.138,0.169,3,11
9.9543,48,1,1.442,-3.563,1.342,-3.726,0.099,0.163,0.191,3,16
10.1443,49,1,1.472,-3.47,1.363,-3.601,0.109,0.13,0.17,4,10
10.3514,50,1,1.502,-3.378,1.405,-3.49,0.097,0.112,0.148,3,9
10.5575,51,1,1.532,-3.286,1.427,-3.428,0.105,0.142,0.177,3,16
10.7645,52,1,1.562,-3.193,1.452,-3.323,0.11,0.129,0.17,4,11
10.9568,53,1,1.592,-3.101,1.473,-3.203,0.118,0.102,0.156,5,8
11.1645,54,1,1.622,-3.008,1.506,-3.103,0.116,0.095,0.15,3,10
11.3722,55,1,1.652,-2.916,1.543,-3.061,0.109,0.145,0.182,2,17
11.5802,56,1,1.682,-2.823,1.576,-2.961,0.106,0.137,0.174,3,11
11.7957,57,1,1.712,-2.731,1.604,-2.793,0.108,0.062,0.125,5,4
11.9744,58,1,1.742,-2.639,1.608,-2.735,0.134,0.096,0.165,6,13
12.1925,59,1,1.772,-2.546,1.686,-2.639,0.086,0.093,0.127,2,7
12.3956,60,1,1.816,-2.472,1.717,-2.549,0.098,0.077,0.125,19,-12
12.5975,61,1,1.913,-2.472,1.77,-2.562,0.143,0.09,0.169,11,9
12.7971,62,1,2.01,-2.472,1.921,-2.607,0.089,0.135,0.161,0,13
13.0012,63,1,2.107,-2.472,1.936,-2.532,0.171,0.06,0.181,18,-5
13.1977,64,1,2.204,-2.472,1.983,-2.485,0.221,0.013,0.222,20,-6
13.3995,65,1,2.302,-2.472,2.152,-2.53,0.149,0.058,0.16,4,7
13.6007,66,1,2.399,-2.472,2.241,-2.516,0.158,0.044,0.164,10,2
13.802,67,1,2.496,-2.472,2.298,-2.471,0.197,-0.001,0.197,18,-6
14.0046,68,1,2.593,-2.472,2.435,-2.493,0.158,0.021,0.159,8,2
14.2105,69,1,2.69,-2.472,2.556,-2.494,0.135,0.022,0.136,7,2
14.416,70,1,2.788,-2.472,2.614,-2.488,0.173,0.016,0.174,16,-1
14.6232,71,1,2.885,-2.472,2.681,-2.48,0.204,0.008,0.204,16,-1
14.8297,72,1,2.982,-2.472,2.829,-2.471,0.153,-0.001,0.153,6,-1
