time,step,valid,ref_x,ref_y,act_x,act_y,err_x,err_y,err_dist,u_x,u_y
0.1978,0,1,8.0,0.0,-0.171,-0.085,8.171,0.085,8.172,45,44
0.4036,1,1,8.0,0.084,-0.131,-0.035,8.13,0.119,8.131,45,29
0.6107,2,1,7.998,0.168,0.044,0.138,7.954,0.03,7.954,45,17
0.8057,3,1,7.996,0.252,0.278,0.332,7.718,-0.08,7.719,45,15
1.0076,4,1,7.993,0.336,0.526,0.465,7.467,-0.129,7.468,45,19
1.215,5,1,7.989,0.419,0.768,0.597,7.221,-0.178,7.223,45,17
1.4209,6,1,7.984,0.503,1.004,0.74,6.98,-0.237,6.984,45,12
1.6237,7,1,7.978,0.587,1.241,0.885,6.738,-0.298,6.744,45,9
1.8309,8,1,7.972,0.671,1.481,0.992,6.491,-0.322,6.499,45,11
2.0485,9,1,7.964,0.754,1.821,1.093,6.143,-0.339,6.152,45,9
2.2284,10,1,7.956,0.838,1.968,1.162,5.988,-0.324,5.997,45,12
2.4353,11,1,7.947,0.921,2.227,1.287,5.719,-0.366,5.731,45,4
2.6503,12,1,7.937,1.004,2.548,1.387,5.389,-0.383,5.403,45,3
2.8541,13,1,7.926,1.088,2.801,1.429,5.125,-0.341,5.136,45,12
3.0528,14,1,7.914,1.171,3.048,1.489,4.866,-0.318,4.876,45,8
3.2535,15,1,7.901,1.254,3.304,1.604,4.597,-0.35,4.611,45,1
3.4542,16,1,7.888,1.336,3.559,1.652,4.329,-0.316,4.341,45,7
3.6578,17,1,7.873,1.419,3.806,1.714,4.067,-0.295,4.078,45,7
3.858,18,1,7.858,1.502,4.05,1.769,3.807,-0.267,3.817,45,6
4.059,19,1,7.842,1.584,4.3,1.839,3.542,-0.255,3.551,45,5
4.258,20,1,7.825,1.666,4.545,1.92,3.28,-0.254,3.29,45,4
4.4653,21,1,7.807,1.748,4.781,1.976,3.026,-0.228,3.035,45,6
4.6713,22,1,7.788,1.83,5.029,2.05,2.759,-0.22,2.768,45,5
4.8774,23,1,7.768,1.911,5.273,2.115,2.495,-0.204,2.504,45,5
5.0803,24,1,7.748,1.993,5.532,2.174,2.216,-0.181,2.224,45,6
5.2721,25,1,7.727,2.074,5.767,2.224,1.96,-0.15,1.965,45,7
5.4798,26,1,7.704,2.155,6.03,2.299,1.675,-0.144,1.681,44,4
5.6864,27,1,7.681,2.236,6.253,2.348,1.428,-0.113,1.433,37,7
5.8949,28,1,7.657,2.316,6.509,2.423,1.148,-0.107,1.153,26,5
6.0858,29,1,7.633,2.396,6.712,2.483,0.921,-0.086,0.925,21,6
6.2926,30,1,7.607,2.476,6.892,2.538,0.715,-0.062,0.718,15,8
