time,step,valid,ref_x,ref_y,act_x,act_y,err_x,err_y,err_dist,u_x,u_y
0.2126,0,1,-7.5,7.5,-0.201,0.053,-7.299,7.447,10.428,-45,45
0.4108,1,1,-7.4,7.5,-0.244,0.079,-7.155,7.421,10.309,-45,45
0.6175,2,1,-7.3,7.5,-0.423,0.241,-6.876,7.259,9.999,-45,45
0.8234,3,1,-7.199,7.5,-0.679,0.476,-6.521,7.024,9.584,-45,45
1.0318,4,1,-7.099,7.5,-0.929,0.675,-6.171,6.825,9.201,-45,45
1.223,5,1,-6.999,7.5,-1.192,0.909,-5.807,6.591,8.784,-45,45
1.4295,6,1,-6.899,7.5,-1.446,1.11,-5.453,6.39,8.401,-45,45
1.6374,7,1,-6.799,7.5,-1.706,1.332,-5.093,6.168,7.999,-45,45
1.8438,8,1,-6.699,7.5,-1.972,1.539,-4.727,5.961,7.607,-45,45
2.0345,9,1,-6.598,7.5,-2.255,1.683,-4.343,5.817,7.259,-45,45
2.2434,10,1,-6.498,7.5,-2.51,1.89,-3.988,5.61,6.884,-45,45
2.4584,11,1,-6.398,7.5,-2.863,2.179,-3.536,5.321,6.388,-45,45
2.6624,12,1,-6.298,7.5,-3.109,2.388,-3.189,5.112,6.025,-45,45
2.8605,13,1,-6.198,7.5,-3.361,2.609,-2.837,4.891,5.654,-45,45
3.0625,14,1,-6.098,7.5,-3.535,2.81,-2.562,4.69,5.345,-45,45
3.2615,15,1,-5.997,7.5,-3.695,2.953,-2.302,4.547,5.096,-45,45
3.4642,16,1,-5.897,7.5,-3.873,3.108,-2.024,4.392,4.836,-45,45
3.6753,17,1,-5.797,7.5,-4.086,3.333,-1.711,4.167,4.505,-45,45
3.8619,18,1,-5.697,7.5,-4.313,3.567,-1.384,3.933,4.169,-35,45
4.0648,19,1,-5.597,7.5,-4.544,3.796,-1.053,3.704,3.85,-23,45
4.2691,20,1,-5.497,7.5,-4.685,4.033,-0.812,3.467,3.56,-20,45
4.4708,21,1,-5.396,7.5,-4.821,4.256,-0.575,3.244,3.295,-11,45
4.6818,22,1,-5.296,7.5,-4.945,4.493,-0.351,3.007,3.028,-1,45
4.8877,23,1,-5.196,7.5,-4.994,4.725,-0.203,2.775,2.783,0,45
5.0841,24,1,-5.096,7.5,-4.988,4.958,-0.108,2.542,2.545,0,45
5.2851,25,1,-4.996,7.5,-4.966,5.191,-0.03,2.309,2.309,4,45
5.4885,26,1,-4.896,7.5,-4.954,5.439,0.058,2.061,2.062,9,45
5.6946,27,1,-4.795,7.5,-4.913,5.677,0.118,1.823,1.827,10,45
5.9001,28,1,-4.695,7.5,-4.844,5.926,0.149,1.574,1.581,9,45
6.1097,29,1,-4.595,7.5,-4.73,6.168,0.135,1.332,1.339,7,40
6.3008,30,1,-4.495,7.5,-4.668,6.417,0.173,1.083,1.096,13,31
6.5045,31,1,-4.395,7.5,-4.602,6.641,0.207,0.859,0.883,15,25
6.7105,32,1,-4.295,7.5,-4.504,6.825,0.209,0.675,0.707,12,21
6.9306,33,1,-4.194,7.5,-4.36,7.053,0.165,0.447,0.476,9,8
7.1283,34,1,-4.094,7.5,-4.285,7.16,0.191,0.34,0.39,14,12
7.3286,35,1,-3.994,7.5,-4.172,7.216,0.177,0.284,0.335,11,16
7.5323,36,1,-3.894,7.5,-4.049,7.351,0.155,0.149,0.215,11,0
7.735,37,1,-3.794,7.5,-3.956,7.42,0.162,0.08,0.181,13,2
7.9284,38,1,-3.694,7.5,-3.899,7.428,0.206,0.072,0.218,16,8
8.1345,39,1,-3.593,7.5,-3.781,7.472,0.187,0.028,0.189,11,2
8.332,40,1,-3.493,7.5,-3.652,7.534,0.159,-0.034,0.162,10,-4
8.5332,41,1,-3.393,7.5,-3.54,7.518,0.146,-0.018,0.147,11,4
8.7392,42,1,-3.293,7.5,-3.468,7.525,0.175,-0.025,0.177,15,2
8.9491,43,1,-3.193,7.5,-3.366,7.554,0.174,-0.054,0.182,13,-3
9.1559,44,1,-3.093,7.5,-3.249,7.554,0.156,-0.054,0.165,11,0
9.3468,45,1,-2.992,7.5,-3.127,7.549,0.134,-0.049,0.143,10,1
9.5539,46,1,-2.892,7.5,-3.012,7.552,0.12,-0.052,0.131,11,0
9.757,47,1,-2.792,7.5,-2.963,7.554,0.171,-0.054,0.179,17,0
9.9619,48,1,-2.692,7.5,-2.856,7.559,0.164,-0.059,0.174,13,-1
10.1683,49,1,-2.592,7.5,-2.722,7.551,0.13,-0.051,0.14,9,1
10.3701,50,1,-2.492,7.5,-2.638,7.544,0.146,-0.044,0.153,13,1
10.5771,51,1,-2.391,7.5,-2.56,7.55,0.168,-0.05,0.175,16,-1
