platform,group,variant,variant_id,short_label,rmse,mae,params,delta_rmse_percent,is_baseline,is_best
platform1,Baseline,Full Model (Baseline),full_model,Full Model,0.34017,0.14474,313722,0.0,True,False
platform1,Module,Without Patching,no_patch,w/o Patch,0.24778,0.12823,311418,-27.2,False,False
platform1,Module,Without Attention,no_attention,w/o Attention,0.34537,0.17582,47994,1.5,False,False
platform1,Module,Without Positional Encoding,no_positional,w/o Positional Enc.,0.19311,0.1047,313722,-43.2,False,True
platform1,Patch Length,Patch Length L=2,patch_L2,Patch L=2,0.32684,0.16326,312186,-3.9,False,False
platform1,Patch Length,Patch Length L=4,patch_L4,Patch L=4,0.44131,0.16409,313722,29.7,False,False
platform1,Patch Length,Patch Length L=8,patch_L8,Patch L=8,0.25525,0.13298,316794,-25.0,False,False
platform1,Patch Length,Patch Length L=16,patch_L16,Patch L=16,0.45547,0.23322,322938,33.9,False,False
platform1,History Length,History P=4,history_P4,P=4,1.3327,0.73702,313722,291.8,False,False
platform1,History Length,History P=8,history_P8,P=8,0.27941,0.14207,313722,-17.9,False,False
platform1,History Length,History P=16,history_P16,P=16,0.27875,0.1393,313722,-18.1,False,False
platform1,History Length,History P=32,history_P32,P=32,0.25368,0.13382,313722,-25.4,False,False
platform1,History Length,History P=64,history_P64,P=64,0.2285,0.12501,313722,-32.8,False,False
platform1,Transformer Depth,Transformer L=1 layers,n_layers_L1,L=1,0.6404,0.32102,114554,88.3,False,False
platform1,Transformer Depth,Transformer L=2 layers,n_layers_L2,L=2,0.41294,0.20495,214138,21.4,False,False
platform1,Transformer Depth,Transformer L=3 layers,n_layers_L3,L=3,0.25527,0.12954,313722,-25.0,False,False
platform1,Transformer Depth,Transformer L=4 layers,n_layers_L4,L=4,0.24332,0.12593,413306,-28.5,False,False
platform1,Transformer Depth,Transformer L=6 layers,n_layers_L6,L=6,0.22859,0.11373,612474,-32.8,False,False
platform1,Latent Dimension,Latent dim d=12,latent_dim_d12,d=12,0.2763,0.13134,302906,-18.8,False,False
platform1,Latent Dimension,Latent dim d=32,latent_dim_d32,d=32,0.21205,0.10666,306426,-37.7,False,False
platform1,Latent Dimension,Latent dim d=64,latent_dim_d64,d=64,0.23359,0.1198,313722,-31.3,False,False
platform1,Latent Dimension,Latent dim d=128,latent_dim_d128,d=128,1.49179,0.98064,334458,338.5,False,False
platform2,Baseline,Full Model (Baseline),full_model,Full Model,0.7942,0.62202,10102,0.0,True,False
platform2,Module,Without Patching,no_patch,w/o Patch,1.54428,1.36682,10070,94.4,False,False
platform2,Module,Without Attention,no_attention,w/o Attention,1.83102,1.52488,806,130.5,False,False
platform2,Module,Without Positional Encoding,no_positional,w/o Positional Enc.,1.40783,1.18143,10102,77.3,False,False
platform2,Patch Length,Patch Length L=1,patch_L1,Patch L=1,2.60828,2.05885,10070,228.4,False,False
platform2,Patch Length,Patch Length L=4,patch_L4,Patch L=4,0.50643,0.42565,10166,-36.2,False,True
platform2,History Length,History P=2,history_P2,P=2,0.64922,0.536,10102,-18.3,False,False
platform2,History Length,History P=4,history_P4,P=4,1.83841,1.46225,10102,131.5,False,False
platform2,History Length,History P=6,history_P6,P=6,0.93819,0.74295,10102,18.1,False,False
platform2,History Length,History P=8,history_P8,P=8,1.86611,1.49689,10102,135.0,False,False
platform2,History Length,History P=12,history_P12,P=12,1.01518,0.73677,10102,27.8,False,False
platform2,History Length,History P=16,history_P16,P=16,2.49727,2.1016,10102,214.4,False,False
platform2,Transformer Depth,Transformer L=1 layers,n_layers_L1,L=1,0.65175,0.54739,3542,-17.9,False,False
platform2,Transformer Depth,Transformer L=2 layers,n_layers_L2,L=2,1.20094,1.03899,6822,51.2,False,False
platform2,Transformer Depth,Transformer L=3 layers,n_layers_L3,L=3,1.02695,0.82283,10102,29.3,False,False
platform2,Transformer Depth,Transformer L=4 layers,n_layers_L4,L=4,0.77098,0.63987,13382,-2.9,False,False
platform2,Latent Dimension,Latent dim d=4,latent_dim_d4,d=4,1.93372,1.57485,9978,143.5,False,False
platform2,Latent Dimension,Latent dim d=8,latent_dim_d8,d=8,0.88055,0.77159,10102,10.9,False,False
platform2,Latent Dimension,Latent dim d=16,latent_dim_d16,d=16,2.15635,1.46694,10446,171.5,False,False
platform2,Latent Dimension,Latent dim d=32,latent_dim_d32,d=32,1.50382,1.18043,11518,89.4,False,False
platform2,Latent Dimension,Latent dim d=64,latent_dim_d64,d=64,0.5201,0.4255,15198,-34.5,False,False
